iter	Passed	Remaining
0	5	1346
1	9	1207
2	13	1159
3	19	1197
4	23	1168
5	27	1155
6	31	1122
7	36	1121
8	40	1102
9	44	1088
10	48	1081
11	52	1058
12	55	1035
13	59	1024
14	63	1008
15	66	995
16	70	979
17	73	964
18	76	944
19	79	931
20	82	916
21	85	899
22	87	883
23	90	870
24	94	861
25	96	849
26	99	838
27	102	825
28	105	815
29	108	806
30	111	799
31	113	790
32	116	780
33	119	772
34	122	763
35	124	756
36	127	748
37	130	741
38	133	733
39	135	727
40	138	720
41	141	714
42	144	706
43	146	699
44	149	693
45	151	686
46	154	681
47	157	674
48	159	668
49	162	662
50	164	656
51	167	651
52	170	646
53	173	641
54	175	636
55	178	630
56	181	625
57	184	622
58	186	617
59	189	611
60	191	606
61	194	601
62	197	597
63	199	593
64	202	589
65	205	584
66	207	579
67	210	575
68	213	571
69	216	568
70	218	563
71	221	559
72	224	555
73	226	551
74	229	547
75	231	543
76	234	538
77	236	534
78	239	530
79	242	526
80	244	523
81	247	518
82	249	514
83	252	510
84	255	507
85	257	503
86	260	499
87	262	495
88	265	492
89	268	488
90	270	484
91	273	481
92	276	478
93	279	475
94	281	471
95	284	468
96	287	465
97	290	462
98	292	458
99	295	454
100	298	451
101	300	447
102	302	444
103	305	441
104	308	437
105	311	434
106	313	430
107	316	427
108	318	424
109	321	420
110	323	417
111	326	413
112	328	410
113	331	407
114	334	403
115	336	400
116	339	397
117	342	394
118	344	390
119	347	387
120	350	384
121	352	381
122	355	378
123	358	375
124	360	372
125	363	369
126	366	366
127	369	363
128	371	360
129	374	357
130	377	354
131	380	351
132	382	348
133	385	345
134	388	342
135	391	339
136	394	336
137	397	333
138	399	330
139	402	327
140	405	324
141	407	321
142	410	318
143	412	315
144	415	312
145	417	309
146	420	306
147	423	303
148	425	300
149	428	296
150	431	294
151	433	290
152	436	287
153	438	284
154	441	282
155	444	279
156	447	276
157	450	273
158	452	270
159	455	267
160	458	264
161	460	261
162	463	258
163	465	255
164	468	252
165	470	249
166	473	246
167	475	243
168	478	240
169	480	237
170	483	234
171	486	231
172	488	228
173	491	225
174	494	223
175	496	220
176	499	217
177	501	214
178	504	211
179	506	208
180	509	205
181	512	202
182	514	199
183	517	196
184	519	193
185	522	191
186	525	188
187	527	185
188	530	182
189	533	179
190	535	176
191	538	173
192	540	170
193	543	168
194	546	165
195	549	162
196	551	159
197	554	156
198	556	153
199	559	151
200	563	148
201	566	145
202	568	142
203	571	140
204	574	137
205	577	134
206	580	131
207	582	128
208	585	126
209	588	123
210	590	120
211	593	117
212	596	114
213	599	112
214	601	109
215	604	106
216	606	103
217	609	100
218	612	97
219	615	95
220	617	92
221	620	89
222	623	86
223	625	83
224	628	81
225	631	78
226	633	75
227	636	72
228	639	69
229	642	67
230	644	64
231	647	61
232	650	58
233	654	55
234	658	53
235	661	50
236	666	47
237	669	45
238	672	42
239	675	39
240	677	36
241	680	33
242	682	30
243	685	28
244	688	25
245	690	22
246	693	19
247	696	16
248	699	14
249	702	11
250	705	8
251	708	5
252	711	2
253	714	0
