Model,Scenario,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
DecisionTree,No Feature Engineering,0.7830777967064169,0.6158038147138964,0.48394004282655245,0.5419664268585132,0.8111552578363656
DecisionTree,Feature Engineering,0.7898921067575241,0.6520376175548589,0.44539614561027835,0.5292620865139949,0.8190718817537043
DecisionTree,Feature Engineering + SMOTE,0.7943563973714728,0.7670175438596492,0.8453209590100541,0.8042678440029434,0.8635047114949002
GBM,No Feature Engineering,0.7910278250993753,0.6386554621848739,0.48822269807280516,0.5533980582524272,0.8268147503384093
GBM,Feature Engineering,0.7825099375354913,0.6147540983606558,0.4817987152034261,0.5402160864345739,0.825697751771477
GBM,Feature Engineering + SMOTE,0.8507924236567452,0.8501930501930502,0.851508120649652,0.8508500772797527,0.9351343161548751
XGBoost,No Feature Engineering,0.7847813742191937,0.6139896373056994,0.5074946466809421,0.5556858147713951,0.8266724364469187
XGBoost,Feature Engineering,0.7881885292447472,0.6263440860215054,0.4989293361884368,0.5554231227651967,0.8357408099977164
XGBoost,Feature Engineering + SMOTE,0.862388867413993,0.8595548733691482,0.8662026295436969,0.8628659476117103,0.9368607087742702
RandomForest,No Feature Engineering,0.7876206700738216,0.628808864265928,0.4860813704496788,0.5483091787439613,0.8263787071941326
RandomForest,Feature Engineering,0.7853492333901193,0.6246498599439776,0.47751605995717344,0.5412621359223301,0.8280252458224252
RandomForest,Feature Engineering + SMOTE,0.8600695786625435,0.8523845571536715,0.8708430007733952,0.8615149196633511,0.9292062478857144
LogisticRegression,No Feature Engineering,0.807495741056218,0.6624365482233503,0.5588865096359743,0.6062717770034843,0.8464102148277837
LogisticRegression,Feature Engineering,0.7967064168086314,0.650137741046832,0.5053533190578159,0.5686746987951807,0.8442341361381307
LogisticRegression,Feature Engineering + SMOTE,0.780827212988017,0.7563559322033898,0.8283062645011601,0.7906976744186046,0.8637599199589754
SVC,No Feature Engineering,0.7932992617830777,0.6426592797783933,0.49678800856531047,0.5603864734299517,0.8038724271799674
SVC,Feature Engineering,0.7915956842703009,0.6592356687898089,0.44325481798715205,0.5300896286811779,0.7987565737434179
SVC,Feature Engineering + SMOTE,0.8129107073830691,0.7879003558718861,0.8561484918793504,0.8206078576723499,0.8992058056040672
NeuralNet,No Feature Engineering,0.7989778534923339,0.6565096952908587,0.5074946466809421,0.572463768115942,0.8368354685933099
NeuralNet,Feature Engineering,0.7910278250993753,0.6246851385390428,0.5310492505353319,0.5740740740740741,0.8310055634802697
NeuralNet,Feature Engineering + SMOTE,0.7943563973714728,0.7692852087756546,0.8406805877803558,0.8033998521803399,0.8722869905841822
AdaBoost,No Feature Engineering,0.797274275979557,0.6527777777777778,0.5032119914346895,0.5683192261185006,0.8389544562450977
AdaBoost,Feature Engineering,0.7830777967064169,0.6231884057971014,0.4603854389721627,0.5295566502463054,0.8313778963359137
AdaBoost,Feature Engineering + SMOTE,0.8310784692694241,0.8048433048433048,0.8739365815931941,0.8379681127178347,0.9179588462903925
LightGBM,No Feature Engineering,0.7853492333901193,0.6193029490616622,0.49464668094218417,0.55,0.8282122396565933
LightGBM,Feature Engineering,0.7955706984667802,0.6465753424657534,0.5053533190578159,0.5673076923076923,0.8310469337975634
LightGBM,Feature Engineering + SMOTE,0.85195206803247,0.8478593272171254,0.8576952822892498,0.8527489427143407,0.9361240707602821
CatBoost,No Feature Engineering,0.7938671209540034,0.6361256544502618,0.5203426124197003,0.5724381625441696,0.8337252481391633
CatBoost,Feature Engineering,0.7915956842703009,0.638121546961326,0.49464668094218417,0.5572979493365501,0.836682398419323
CatBoost,Feature Engineering + SMOTE,0.8608426749130267,0.8531415594246783,0.871616395978345,0.8622800306044377,0.939705356747963
