Model,Scenario,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
DecisionTree,No_FE,1,0.8175101808709689,0.7852412488174078,0.6216216216216216,0.49110320284697506,0.5487077534791253
DecisionTree,No_FE,2,0.8189089041347177,0.7880794701986755,0.6278026905829597,0.498220640569395,0.5555555555555556
DecisionTree,No_FE,3,0.8004441273932253,0.7736742424242424,0.582995951417004,0.5142857142857142,0.5464895635673624
DecisionTree,No_FE,4,0.7956760861561119,0.771780303030303,0.5866666666666667,0.4714285714285714,0.5227722772277228
DecisionTree,No_FE,5,0.792063236377025,0.7755681818181818,0.592274678111588,0.4928571428571429,0.5380116959064327
GBM,No_FE,1,0.8394173973658142,0.8051087984862819,0.6728110599078341,0.5195729537366548,0.5863453815261044
GBM,No_FE,2,0.8404400704406207,0.7786187322611163,0.6026200873362445,0.49110320284697506,0.5411764705882353
GBM,No_FE,3,0.8173508836524301,0.7793560606060606,0.6053811659192825,0.48214285714285715,0.536779324055666
GBM,No_FE,4,0.8176891568483065,0.7859848484848485,0.6173913043478261,0.5071428571428571,0.5568627450980392
GBM,No_FE,5,0.8180849594992637,0.7727272727272727,0.5980392156862745,0.4357142857142857,0.5041322314049587
XGBoost,No_FE,1,0.8544158381333236,0.8022705771050141,0.6682242990654206,0.5088967971530249,0.5777777777777777
XGBoost,No_FE,2,0.8460051546391752,0.7975402081362346,0.6390041493775933,0.5480427046263345,0.5900383141762452
XGBoost,No_FE,3,0.8235318483063327,0.7897727272727273,0.6306306306306306,0.5,0.5577689243027888
XGBoost,No_FE,4,0.830819679675994,0.790719696969697,0.6266094420600858,0.5214285714285715,0.5692007797270955
XGBoost,No_FE,5,0.8340229197349042,0.7945075757575758,0.6492890995260664,0.48928571428571427,0.5580448065173116
RandomForest,No_FE,1,0.8339921854936347,0.7984862819299905,0.6619047619047619,0.49466192170818507,0.5661914460285132
RandomForest,No_FE,2,0.8358609714935613,0.793755912961211,0.6412556053811659,0.5088967971530249,0.5674603174603174
RandomForest,No_FE,3,0.8035392120765832,0.7736742424242424,0.5953488372093023,0.45714285714285713,0.5171717171717172
RandomForest,No_FE,4,0.8218496870397642,0.7859848484848485,0.6227272727272727,0.48928571428571427,0.548
RandomForest,No_FE,5,0.8244270066273932,0.7831439393939394,0.6321243523316062,0.4357142857142857,0.5158562367864693
LogisticRegression,No_FE,1,0.8596048721429357,0.8164616840113529,0.6916299559471366,0.5587188612099644,0.6181102362204725
LogisticRegression,No_FE,2,0.8626109806655171,0.8145695364238411,0.6615969581749049,0.6192170818505338,0.6397058823529411
LogisticRegression,No_FE,3,0.8238448085419734,0.7888257575757576,0.6266666666666667,0.5035714285714286,0.5584158415841585
LogisticRegression,No_FE,4,0.8349157768777614,0.8058712121212122,0.6651982378854625,0.5392857142857143,0.5956607495069034
LogisticRegression,No_FE,5,0.8410737297496317,0.8049242424242424,0.6594827586206896,0.5464285714285714,0.59765625
SVC,No_FE,1,0.8143160472539165,0.8145695364238411,0.717948717948718,0.498220640569395,0.5882352941176471
SVC,No_FE,2,0.835487214293576,0.8183538315988647,0.6960352422907489,0.5622775800711743,0.6220472440944882
SVC,No_FE,3,0.7769053755522828,0.790719696969697,0.6372093023255814,0.48928571428571427,0.5535353535353535
SVC,No_FE,4,0.7855324926362298,0.803030303030303,0.6730769230769231,0.5,0.5737704918032787
SVC,No_FE,5,0.7893064248895434,0.8011363636363636,0.6699029126213593,0.4928571428571429,0.5679012345679012
NeuralNet,No_FE,1,0.8533725281579044,0.8174077578051088,0.6833333333333333,0.5836298932384342,0.6295585412667947
NeuralNet,No_FE,2,0.8582405437135415,0.8164616840113529,0.6705882352941176,0.608540925266904,0.6380597014925373
NeuralNet,No_FE,3,0.8097523932253314,0.7831439393939394,0.6094420600858369,0.5071428571428571,0.5536062378167641
NeuralNet,No_FE,4,0.8301201215022092,0.7964015151515151,0.6305220883534136,0.5607142857142857,0.5935727788279773
NeuralNet,No_FE,5,0.829705909425626,0.7973484848484849,0.6434782608695652,0.5285714285714286,0.5803921568627451
AdaBoost,No_FE,1,0.8612535312029936,0.815515610217597,0.6990740740740741,0.5373665480427047,0.607645875251509
AdaBoost,No_FE,2,0.8611228308324467,0.8051087984862819,0.6556016597510373,0.5622775800711743,0.6053639846743295
AdaBoost,No_FE,3,0.8098099226804123,0.7859848484848485,0.618421052631579,0.5035714285714286,0.5551181102362205
AdaBoost,No_FE,4,0.8312062776141385,0.8011363636363636,0.6650943396226415,0.5035714285714286,0.573170731707317
AdaBoost,No_FE,5,0.8386390832106039,0.7935606060606061,0.6409090909090909,0.5035714285714286,0.564
LightGBM,No_FE,1,0.8517009392082767,0.7994323557237465,0.6561085972850679,0.5160142348754448,0.5776892430278885
LightGBM,No_FE,2,0.8544364750339363,0.8032166508987701,0.6593886462882096,0.5373665480427047,0.592156862745098
LightGBM,No_FE,3,0.8163084499263623,0.790719696969697,0.6334841628959276,0.5,0.5588822355289421
LightGBM,No_FE,4,0.8229749631811488,0.7869318181818182,0.6190476190476191,0.5107142857142857,0.5596868884540117
LightGBM,No_FE,5,0.8325754786450662,0.7840909090909091,0.6150442477876106,0.49642857142857144,0.549407114624506
CatBoost,No_FE,1,0.8260722016362768,0.7852412488174078,0.6273584905660378,0.47330960854092524,0.539553752535497
CatBoost,No_FE,2,0.8389702645192061,0.7890255439924314,0.6239316239316239,0.5195729537366548,0.566990291262136
CatBoost,No_FE,3,0.802262058173785,0.7651515151515151,0.5661157024793388,0.48928571428571427,0.524904214559387
CatBoost,No_FE,4,0.816391292341679,0.7878787878787878,0.6238938053097345,0.5035714285714286,0.5573122529644269
CatBoost,No_FE,5,0.8262587444771723,0.7869318181818182,0.6328502415458938,0.46785714285714286,0.5379876796714579
DecisionTree,SMOTE_Only,1,0.8718637636163409,0.793947198969736,0.7903430749682337,0.8005148005148005,0.7953964194373402
DecisionTree,SMOTE_Only,2,0.8501202306302476,0.782860824742268,0.7660606060606061,0.8144329896907216,0.7895065584009994
