Model,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
DecisionTree,1,0.8700595113071484,0.7956521739130434,0.7838589981447124,0.8164251207729468,0.7998106956933271
DecisionTree,2,0.8674260776214148,0.7927536231884058,0.7621107266435986,0.851207729468599,0.8041989958922866
DecisionTree,3,0.876990828257369,0.806280193236715,0.7835420393559929,0.8463768115942029,0.8137482582443103
DecisionTree,4,0.8621174744671507,0.7926534557757371,0.7548441449031171,0.8665377176015474,0.8068437640702386
DecisionTree,5,0.8634036946710396,0.7868535524407927,0.75,0.8608695652173913,0.8016194331983806
GBM,1,0.9396998763098322,0.8657004830917875,0.8527493010251631,0.8840579710144928,0.8681214421252372
GBM,2,0.9363387710331631,0.857487922705314,0.8406998158379374,0.8821256038647343,0.860914662894861
GBM,3,0.9389152605661742,0.8579710144927536,0.8498583569405099,0.8695652173913043,0.8595988538681948
GBM,4,0.9264467057251516,0.8414693088448526,0.8467583497053045,0.8336557059961315,0.8401559454191033
GBM,5,0.9293027406348404,0.8414693088448526,0.8325493885230479,0.855072463768116,0.8436606291706387
XGBoost,1,0.9427855959298933,0.8657004830917875,0.8635926993275697,0.8685990338164251,0.8660886319845857
XGBoost,2,0.9394174893229715,0.8560386473429952,0.8447146866230122,0.8724637681159421,0.8583650190114068
XGBoost,3,0.9413689934420872,0.8632850241545894,0.8622350674373795,0.8647342995169082,0.8634828750602991
XGBoost,4,0.9332282118128556,0.8506524891251812,0.8543499511241447,0.8452611218568665,0.8497812348079727
XGBoost,5,0.9354628617348322,0.8574190430159497,0.8627450980392157,0.8502415458937198,0.8564476885644768
RandomForest,1,0.9341156153002403,0.8603864734299517,0.8505639097744361,0.8743961352657005,0.8623153882801334
RandomForest,2,0.9277299353543839,0.8526570048309179,0.8354779411764706,0.8782608695652174,0.8563353744700894
RandomForest,3,0.9340287988051064,0.8642512077294686,0.852996254681648,0.8801932367149758,0.8663813599619591
RandomForest,4,0.9243470785561442,0.8535524407926535,0.8471035137701804,0.8626692456479691,0.8548155246765692
RandomForest,5,0.926356067614162,0.8545190913484775,0.8449248120300752,0.8685990338164251,0.8565983801810386
LogisticRegression,1,0.8612719083292494,0.7806763285024154,0.7605381165919283,0.8193236714975846,0.7888372093023256
LogisticRegression,2,0.8572536115195221,0.7714975845410628,0.7464912280701754,0.8222222222222222,0.782528735632184
LogisticRegression,3,0.871335153679199,0.7932367149758454,0.769299023957409,0.8376811594202899,0.8020351526364478
LogisticRegression,4,0.8465987348041002,0.7689705171580473,0.7522686025408348,0.8017408123791102,0.7762172284644194
LogisticRegression,5,0.8530088115194498,0.7670372160463992,0.7488748874887489,0.8038647342995169,0.7753960857409133
SVC,1,0.9012112301337254,0.8111111111111111,0.7927272727272727,0.842512077294686,0.8168618266978923
SVC,2,0.8971672617797383,0.8067632850241546,0.7857785778577858,0.8434782608695652,0.8136067101584343
SVC,3,0.9024289948423534,0.8202898550724638,0.8,0.8541062801932368,0.8261682242990654
SVC,4,0.8866168624262981,0.8013533107781537,0.7844748858447489,0.8307543520309478,0.8069516204790982
SVC,5,0.8880516543791289,0.8032866118898019,0.7859744990892532,0.8338164251207729,0.8091889357712142
NeuralNet,1,0.892567854559033,0.821256038647343,0.7898866608544028,0.8753623188405797,0.8304307974335472
NeuralNet,2,0.8762729585287873,0.7942028985507247,0.7631806395851339,0.8531400966183574,0.8056569343065694
NeuralNet,3,0.8919918784569068,0.8207729468599034,0.8018181818181818,0.8521739130434782,0.8262295081967214
NeuralNet,4,0.8709402068791521,0.7897535041082648,0.783349101229896,0.8007736943907157,0.7919655667144907
NeuralNet,5,0.8830380586624805,0.8105364910584824,0.7979610750695088,0.8318840579710145,0.8145695364238411
AdaBoost,1,0.9245844710494995,0.8454106280193237,0.8229448961156278,0.8801932367149758,0.8506069094304388
AdaBoost,2,0.919511307148358,0.8304347826086956,0.7958477508650519,0.8888888888888888,0.8397991784573254
AdaBoost,3,0.9227510560339798,0.8410628019323672,0.8163082437275986,0.8801932367149758,0.8470478847047884
AdaBoost,4,0.9135032097104252,0.8269695505074915,0.807832422586521,0.8578336557059961,0.8320825515947468
AdaBoost,5,0.9092586363169157,0.8177863702271628,0.7996357012750456,0.8483091787439614,0.8232536333802156
LightGBM,1,0.9438091904128452,0.8632850241545894,0.8553875236294896,0.8743961352657005,0.864787386526517
LightGBM,2,0.9370855795934563,0.8531400966183574,0.8381128584643849,0.8753623188405797,0.8563327032136105
LightGBM,3,0.9416317767042406,0.8628019323671497,0.861405197305101,0.8647342995169082,0.863066538090646
LightGBM,4,0.9299914033956587,0.8400193330111165,0.844946025515211,0.8326885880077369,0.8387725280077934
LightGBM,5,0.9334249058578383,0.8554857419043016,0.8498098859315589,0.863768115942029,0.8567321514135122
CatBoost,1,0.9421858153049081,0.8642512077294686,0.8583650190114068,0.8724637681159421,0.8653569717297557
CatBoost,2,0.9385852645335947,0.8579710144927536,0.847887323943662,0.8724637681159421,0.86
CatBoost,3,0.9392265863847465,0.8565217391304348,0.8541266794625719,0.8599033816425121,0.8570052961001444
CatBoost,4,0.9293461908633046,0.8405026582890285,0.852,0.8239845261121856,0.8377581120943953
CatBoost,5,0.9303735785234398,0.847269212179797,0.8466730954676953,0.8483091787439614,0.8474903474903475
