Model,Scenario,ROC_AUC_Mean,ROC_AUC_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
DecisionTree,No_FE,0.8049205069864097,0.01118017747239474,0.7788686892577621,0.006535577211805319,0.6022723216799679,0.018661526949230876,0.49357905439755967,0.0137666624774957,0.5423073691472398,0.011260930137149395
GBM,No_FE,0.8377996952945246,0.012267786715779529,0.7900400647917204,0.004980619082664521,0.6327843908764124,0.01410099715461863,0.4985663446873412,0.017760317128948506,0.5575067945422483,0.013123110607516583
XGBoost,No_FE,0.8301428695905114,0.013451562789724642,0.7873898039047045,0.004282633025475963,0.6218308720568616,0.008968182944041895,0.5078291814946618,0.024739160211942838,0.5587743222704373,0.016308039148314024
RandomForest,No_FE,0.8239338125461872,0.011523493695480573,0.7870090450388464,0.008614547862949422,0.6306721659108219,0.021910965141670166,0.47714031520081346,0.0267544605900033,0.5429359434894034,0.022649564491266476
LogisticRegression,No_FE,0.8444100335955639,0.014740135061828166,0.8061304865112812,0.0097870025722994,0.660914915458972,0.020674715785298257,0.5534443314692424,0.03765864875339574,0.6019097919328951,0.026980977422288843
SVC,No_FE,0.8003095109251097,0.021544538048310812,0.8055619463318138,0.009910160181137233,0.6788346196526662,0.02709748182980422,0.5085282155566853,0.027143423229684868,0.5810979236237337,0.023303768079778655
NeuralNet,No_FE,0.8366827132217673,0.017106338497430155,0.8029100728190132,0.012676227294845677,0.6494384124816572,0.027442468618396408,0.5591560752414845,0.03093986614813657,0.6007638731385426,0.028181626888031063
AdaBoost,No_FE,0.842915045741854,0.017345437014135934,0.8025334351079383,0.010006442957769628,0.6610782977770853,0.028500606015042194,0.5277808845958312,0.024619138995719495,0.5864820786326403,0.02046422039561572
LightGBM,No_FE,0.8340718095351652,0.01349218040797966,0.7915523494165878,0.009290770521528647,0.6327826068833972,0.023462537411928254,0.5121047280122013,0.01500053521549626,0.5660571057961667,0.0182699859554298
CatBoost,No_FE,0.8379402571554359,0.01243722103096751,0.7978009159714458,0.007940112108250793,0.6528119563631981,0.01862372079125123,0.5085358413828165,0.020895364441528615,0.5716280109173237,0.019470305739632807
DecisionTree,FE_Only,0.7985129426123827,0.013852500125677326,0.7779240489091481,0.007205437320042923,0.5999955199734008,0.017772512027426725,0.4907269954245043,0.011146479917314399,0.5398558190399447,0.013418289897152885
GBM,FE_Only,0.8374293644751807,0.012238646065516643,0.791741564175339,0.009570040790008337,0.6383319303974883,0.024328381274826182,0.49711743772242,0.019748677052040906,0.5588827164214211,0.021020946212467743
XGBoost,FE_Only,0.83173670000891,0.011923669958878013,0.7896614560935753,0.004527904925352768,0.6301926473832993,0.014250426565946142,0.5035663446873412,0.014839786243315079,0.5595757107556316,0.009672790843527648
RandomForest,FE_Only,0.8276119830292613,0.008387618805910317,0.7906077090679741,0.00557034057713893,0.6408290876226279,0.015979908944880442,0.48072953736654805,0.0137208945658122,0.5492525199377128,0.012895697269478706
LogisticRegression,FE_Only,0.8446016029958228,0.015507438939442286,0.8063189845474612,0.010075738527639546,0.6702361159362196,0.02469693798450208,0.5327681748856126,0.03299722019404782,0.5931603608929422,0.02522086378873034
SVC,FE_Only,0.796394792425537,0.023714766359152956,0.8000702388119606,0.014287081241325963,0.6822035799168152,0.041745043975776476,0.4628723945094052,0.034226767184347515,0.5510850512596299,0.03452331225833325
NeuralNet,FE_Only,0.8347837514871671,0.015630078020399334,0.801963461483329,0.01387795888728849,0.6590016234401035,0.03758747478817041,0.5292094560244026,0.02081376915200125,0.586720153882762,0.025002050986032535
AdaBoost,FE_Only,0.8412060990885697,0.01756956545197011,0.7981770161405922,0.013432925553199764,0.6515122433243347,0.035618607213166856,0.5170818505338078,0.028120707632462348,0.5762253319511788,0.02805086662156517
LightGBM,FE_Only,0.8343880438314667,0.011918665252255873,0.7923104627160918,0.007260872114160215,0.6337789301650628,0.018549092314930165,0.5156761565836299,0.012201087737120949,0.5686320862615578,0.014396337474203444
CatBoost,FE_Only,0.8376933579316453,0.01404048882024185,0.8013972506522176,0.009789538236104855,0.6609854357488514,0.02493061615517019,0.5170971021860702,0.018658819752038616,0.5802123489535497,0.020806659391151092
DecisionTree,FE_SMOTE,0.8635646017213865,0.0094784259315259,0.7922931008158469,0.014013736263956742,0.7699543408503575,0.02427930855870308,0.8361252637025833,0.015008592673351567,0.8012156512145621,0.00868248877050215
GBM,FE_SMOTE,0.9327294391576263,0.007895558889052051,0.8560731308209585,0.010467891297521924,0.8481070474800712,0.012087440397501948,0.8678083827568365,0.01824749220059628,0.8577072529149177,0.01075239892902889
XGBoost,FE_SMOTE,0.9351455617143722,0.006540139139172982,0.8545274858770189,0.00777386587957261,0.8549856004011381,0.00987959856869204,0.8541529010601175,0.01662838951262542,0.8544361374107672,0.008417386851425386
RandomForest,FE_SMOTE,0.923556972547301,0.010609434632496324,0.8496308275967366,0.011061262308755503,0.8422580330384705,0.014457844144030653,0.8608512783770517,0.018421744419120797,0.8512816219058005,0.011067636521371368
LogisticRegression,FE_SMOTE,0.8558318761128237,0.013678427034215707,0.774124657297814,0.01596871078133699,0.7547977336890588,0.020377039960209523,0.813187451074049,0.013891748981180944,0.7827314130614085,0.013502593073237848
SVC,FE_SMOTE,0.8865114901864954,0.011521033432127705,0.7960296333667461,0.014038216785179818,0.7775480968111943,0.016800090738177082,0.8299343894704719,0.01732318575801169,0.8027456042102787,0.01319973668439175
NeuralNet,FE_SMOTE,0.8706007724213365,0.008448580649713142,0.791134883597427,0.010326005428842103,0.7664571694609322,0.015713621930887798,0.8387095490188274,0.025729696055641998,0.8005528445950963,0.01029369239152936
AdaBoost,FE_SMOTE,0.9018402270109412,0.008868160446627955,0.8154859068912181,0.012535575430672895,0.7882080658538815,0.016445372865995036,0.8634345685892078,0.006622024943214358,0.8240304670230474,0.010472986168218276
LightGBM,FE_SMOTE,0.9361889191603427,0.007072783504208897,0.8537545389369429,0.010511120825977197,0.8506899490288677,0.014251578638913333,0.8585330175536361,0.017138571885635563,0.854440222667313,0.010597863656185483
