Model,Best_Score,Best_Params
DecisionTree,0.8609591813432551,"{'max_depth': 7, 'min_samples_split': 5}"
GBM,0.9321785069177858,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 5}"
XGBoost,0.9350648456501229,"{'n_estimators': 302, 'learning_rate': 0.02907273095225152, 'max_depth': 8, 'subsample': 0.8600266810843992}"
RandomForest,0.9231447417024391,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2}"
LogisticRegression,0.8553372206852252,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
SVC,0.8870633844030327,"{'C': 1, 'kernel': 'rbf'}"
NeuralNet,0.8729208249023055,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.001}"
AdaBoost,0.9164291496832149,"{'n_estimators': 100, 'learning_rate': 1.0}"
LightGBM,0.9346429061286512,"{'n_estimators': 500, 'learning_rate': 0.022319343024361726, 'max_depth': 10}"
CatBoost,0.9354859345456779,"{'iterations': 278, 'learning_rate': 0.10162274581307693, 'depth': 10}"
